Date,10Y_Yield_Constant_Maturity,20Y_Yield_Constant_Maturity,Building_Permits_Contribution,Consumer_Confidence_Expectations,Consumer_Confidence_Index,PMI_Manufacturing_Global,PMI_Services_Business_Activity_US,Unemployment_Initial_Claims,10 Year,10 Year Chg,QMJ,MKT-Rf,SMB,HML,UMD,VIX,VVIX
2019-07-08,-0.009999990000000292,0.0,0.261111111,15.86666667,12.0377778,-0.14999999999999858,1.6999999999999957,4000.0,2.0339999198913574,-0.6480000019073486,0.0010146782989749789,-0.0011236703360363006,-0.0046064103770164,-0.002752411161084,0.0069142098885995994,1.390000350000001,3.620002740000004
2019-07-09,-0.009999990000000292,0.0,0.261111111,15.86666667,12.0377778,-0.14999999999999858,1.6999999999999957,4000.0,2.0339999198913574,-0.6480000019073486,-0.0029440825816242,0.0044062775165967,0.0002803813898230999,-0.0049046750352268,7.794802157039954e-05,0.13000010999999922,-1.3500061000000017
2019-07-10,-0.009999990000000292,0.0,0.261111111,15.86666667,12.0377778,-0.14999999999999858,1.6999999999999957,4000.0,2.0339999198913574,-0.6480000019073486,9.687661529189998e-05,0.0046626270218597,0.0010414283178577,0.0041198673227407,-0.0069658259408229995,-1.0600004199999997,3.660003660000001
2019-07-11,-0.009999990000000292,0.0,0.261111111,15.86666667,12.0377778,-0.14999999999999858,1.6999999999999957,4000.0,2.0339999198913574,-0.6480000019073486,0.0040545079769451,-0.0016093928039145999,-0.0026600231956969,-0.00024225899762839997,0.003918430200729199,-0.09999941999999962,2.229995729999999
2019-07-12,-0.009999990000000292,0.0,0.261111111,15.86666667,12.0377778,-0.14999999999999858,1.6999999999999957,4000.0,2.0339999198913574,-0.6480000019073486,-0.0004348629921465,0.0009103691159632,0.0039514348501736,0.0009860454507255002,-0.0066932584283494,-0.5399999700000002,-2.0599975599999993
2019-07-15,-0.009999990000000292,0.0,0.261111111,15.86666667,12.0377778,-0.14999999999999858,1.6999999999999957,-9857.142900000006,2.0920000076293945,-0.6180000305175781,-0.0014083743593518,-0.0024605575134626,-0.0029222403222283,-0.0062747532366013,0.0087225048282531,0.2899999700000002,0.05999755999999934
2019-07-16,-0.009999990000000292,0.0,0.261111111,15.86666667,12.0377778,-0.14999999999999858,1.6999999999999957,-9857.142900000006,2.0920000076293945,-0.6180000305175781,0.0016026813532984997,-0.002977209940431,0.0030099877609055,0.003994163252340701,-0.0032857624982474,0.17999934999999923,2.050003050000001
2019-07-17,-0.009999990000000292,0.0,0.261111111,15.86666667,12.0377778,-0.14999999999999858,1.6999999999999957,-9857.142900000006,2.0920000076293945,-0.6180000305175781,0.0001509006965181004,-0.0012466483983753999,-0.0017081912878582,-0.0034876592801489003,0.0059755465083432,1.1100006100000002,2.0999984700000027
2019-07-18,-0.009999990000000292,0.0,0.261111111,15.86666667,12.0377778,-0.14999999999999858,1.6999999999999957,-9857.142900000006,2.0920000076293945,-0.6180000305175781,-0.0006750459912863002,0.0028746631563705003,-0.0007689047285795,0.003492958617739,-0.0019256706316645002,-0.4400005399999998,-6.309997550000006
2019-07-19,-0.009999990000000292,0.0,0.261111111,15.86666667,12.0377778,-0.14999999999999858,1.6999999999999957,-9857.142900000006,2.0920000076293945,-0.6180000305175781,4.275736040420001e-05,0.0007213395493431,0.0023028759325657,0.0056436442074142,-0.0098340357641044,0.9200000799999994,2.729995720000005
2019-07-22,-0.009999990000000292,0.0,0.261111111,15.86666667,12.0377778,-0.14999999999999858,1.6999999999999957,5190.476200000005,2.0429999828338623,-0.6670000553131104,-0.0023329878894246,0.0004051172766602,-0.0017634535981754,-0.0054590582073107,0.0040166982244689,-0.9200000799999994,-5.549995420000002
2019-07-23,-0.009999990000000292,0.0,0.261111111,15.86666667,12.0377778,-0.14999999999999858,1.6999999999999957,5190.476200000005,2.0429999828338623,-0.6670000553131104,0.0020988036663028,0.0045397387719675,-0.0022558083497219,0.0042153080698636,-0.0050776063119518,-0.9200000700000004,-2.2300033599999978
2019-07-24,-0.009999990000000292,0.0,0.261111111,15.86666667,12.0377778,-0.14999999999999858,1.6999999999999957,5190.476200000005,2.0429999828338623,-0.6670000553131104,-0.0011220266614274,-0.0005629316923115007,0.0065546992240308,-0.0020266320432957,0.0016684763548782998,-0.5399999700000002,4.900001529999997
2019-07-25,-0.009999990000000292,0.0,0.261111111,15.86666667,12.0377778,-0.14999999999999858,1.6999999999999957,5190.476200000005,2.0429999828338623,-0.6670000553131104,0.0032038448546103,-0.0085567808814491,-0.0048636925087951,-0.0044968260175839,0.0114923513024747,0.6700000800000012,0.410003660000001
2019-07-26,-0.009999990000000292,0.0,0.261111111,15.86666667,12.0377778,-0.14999999999999858,1.6999999999999957,5190.476200000005,2.0429999828338623,-0.6670000553131104,-0.0018183737136036,0.006503755726416399,0.0023247149642115,7.353622605650026e-05,-0.0041994581090176,-0.5799999200000006,-1.1900024400000007
