Date,VIX,VVIX,PMI_Manufacturing_Global,PMI_Services_Business_Activity_US,GLD_ret_lag1,GLD_ret_lag5,GLD_ret_lag20
2020-01-24,-0.11828989745317152,0.8201150473100355,0.31307833572101923,-0.5980160255118164,0.2021897384098071,-0.3104190273731159,1.188226103971601
2020-01-27,1.4484717035463632,1.9207546086053662,0.32116851746942887,-0.5920086997702095,0.6853152957480748,0.15258076342791005,0.9776938127994327
2020-01-28,0.6100409630612259,1.2504582519243397,0.3293915750310007,-0.586007616412682,0.812553666620559,0.04938722377824075,-0.1415764906595203
2020-01-29,0.6553488203730996,0.8665232858101071,0.3377527267238232,-0.5800120613900113,-1.3239569263609845,-0.05739578509687989,0.19713304158405584
2020-01-30,0.27310043886924124,0.5410775769663946,0.3462574784563048,-0.5740213248215336,0.6356599005787295,0.2021897384098071,0.1690359046378398
2020-01-31,1.6931905341227416,1.6637315908422898,0.3549116447635943,-0.568034701947217,-0.087844410075327,0.6853152957480748,0.9087403261157635
2020-02-03,1.2962386975805873,1.3086378849864695,-0.6985399818988576,-1.2008244506084758,0.6899672925344567,0.812553666620559,1.7008986276877986
2020-02-04,0.4827760582224154,0.45968440275676486,-0.6926782093461461,-1.1950602370633037,-0.9805451822953332,-1.3239569263609845,1.320824543725205
2020-02-05,0.10371328406932624,0.03218064515925364,-0.6868474020243835,-1.189483654239948,-1.8670297989468632,0.6356599005787295,0.42812905615190655
2020-02-06,0.021579705140528753,0.12354666911756582,-0.6810477299697687,-1.1840998381139247,0.07637485428123542,-0.087844410075327,-1.1248085881152585
2020-02-07,0.23473718712864539,0.4225989909989124,-0.6752794441221163,-1.1789145477649703,0.6350726656309365,0.6899672925344567,-0.8680727123379713
2020-02-10,0.05435951509595462,0.5189437652934981,-0.6695428843879122,-1.1739342255115888,0.2612280500964544,-0.9805451822953332,0.7171607036113259
2020-02-11,0.11235528941748901,0.5321804067297717,-0.6638384888098958,-1.1691660653161229,0.2510775585497484,-1.8670297989468632,-1.1089340451454994
2020-02-12,-0.49062539281040596,0.48608625312586834,-0.658166804012286,-1.164618090759132,-0.5590846237348521,0.07637485428123542,-0.21675358756302932
2020-02-13,-0.3194629653395371,0.8071321902599955,-0.6521404976427112,-1.1606020167883948,-0.20483574464310533,0.6350726656309365,0.6904023028962576
2020-02-14,-0.5151937762937733,0.67031468492197,-0.646127986805387,-1.1568412472453158,0.6720075562513792,0.2612280500964544,-0.3104190273731159
2020-02-18,-0.028989840995678192,1.0307590802116309,-0.6341414127255591,-1.1501382940527882,0.4634919316433907,0.2510775585497484,0.15258076342791005
2020-02-19,-0.21435372502497155,0.3575374665634159,-0.6281658756123276,-1.1472263396183917,1.6202291321269384,-0.5590846237348521,0.04938722377824075
2020-02-20,0.28217710697345366,0.8182807379898027,-0.6222011851341488,-1.1446305570210786,0.6797881426998927,-0.20483574464310533,-0.05739578509687989
2020-02-21,0.916220670246705,1.5168516597280675,-0.6162465973605254,-1.1423709345947475,0.4542401833113598,0.6720075562513792,0.2021897384098071
2020-02-24,4.23253924403141,2.5332738822892704,-0.6103013644704562,-1.1404699107322809,1.91611234208758,0.4634919316433907,0.6853152957480748
2020-02-25,5.213957252496646,3.5718345349688425,-0.6043647341187468,-1.1389527303032683,1.0930863597690113,1.6202291321269384,0.812553666620559
2020-02-26,4.823581265406111,2.516636703880562,-0.5984359487826721,-1.1378478670796386,-2.5451866742186096,0.6797881426998927,-1.3239569263609845
2020-02-27,8.869953463666505,3.0541809925185466,-0.5925142450873467,-1.1371875269564553,0.47376271060158753,0.4542401833113598,0.6356599005787295
2020-02-28,8.022278408857984,3.9482819975978813,-0.586598853107889,-1.1370082507016528,-0.08160741626621294,1.91611234208758,-0.087844410075327
2020-03-02,4.727968376002227,2.4043142700665134,-2.648786914871182,-4.672729142331218,-5.06384751721769,1.0930863597690113,0.6899672925344567
2020-03-03,5.367684282702108,2.606146602588214,-2.606039407814742,-4.52544567926016,0.6097602068613532,-2.5451866742186096,-0.9805451822953332
2020-03-04,3.916430151206276,2.2486282937391406,-2.5650361475899937,-4.391687151601056,3.8683232686311344,0.47376271060158753,-1.8670297989468632
2020-03-05,5.55172908889243,2.866589425854086,-2.525659668316283,-4.269561992615867,0.1019098926515347,-0.08160741626621294,0.07637485428123542
2020-03-06,5.725600078304038,3.6494174796503915,-2.4878034239512594,-4.1575339121824895,2.5482630383980194,-5.06384751721769,0.6350726656309365
2020-03-09,7.934092038775884,4.637353871792045,-2.45137052008659,-4.05434072171514,-0.07943979728163901,0.6097602068613532,0.2612280500964544
2020-03-10,5.754210795118434,4.606559939125277,-2.4162726215973533,-3.958934757523007,0.07612915779370623,3.8683232686311344,0.2510775585497484
2020-03-11,6.528340652697994,5.229259031320299,-2.382429008041652,-3.870438425497789,-2.7571689103735446,0.1019098926515347,-0.5590846237348521
2020-03-12,9.460967991852721,5.733100415302379,-2.350216796830939,-3.757340416095336,-0.5476602154982155,2.5482630383980194,-0.20483574464310533
2020-03-13,5.674199598235595,6.8500465546042655,-2.3190980047572536,-3.6530233907929963,-5.0682779906196,-0.07943979728163901,0.6720075562513792
2020-03-16,8.537131797113767,9.298407491958997,-2.2890120651315677,-3.5563962237715696,-3.6825488677687352,0.07612915779370623,0.4634919316433907
2020-03-17,6.717271833039439,7.056206419668573,-2.2599031473691893,-3.4665492287313557,-1.379005974204126,-2.7571689103735446,1.6202291321269384
2020-03-18,6.2192232210410205,5.570521159581503,-2.231719696984675,-3.3827171135981176,1.4612136287212592,-0.5476602154982155,0.6797881426998927
2020-03-19,5.333048615115718,5.268233561948543,-2.2044140294493384,-3.3042507822371308,-2.338198005339195,-5.0682779906196,0.4542401833113598
2020-03-20,4.482659248074217,5.3025394380724915,-2.177941970634922,-3.2305955896444116,-2.1877339701223626,-3.6825488677687352,1.91611234208758
2020-03-23,3.8995965569613276,3.9271093762401716,-2.1522625376796394,-3.1612743745254654,1.600180279190829,-1.379005974204126,1.0930863597690113
2020-03-24,3.7786803185666473,4.014761282771946,-2.1273376550376315,-3.0958740762322328,4.706345923905573,1.4612136287212592,-2.5451866742186096
2020-03-25,3.853790988925529,3.876990790833178,-2.1031319012428664,-3.0340350741267446,4.934408150487995,-2.338198005339195,0.47376271060158753
2020-03-26,3.4880632090997685,3.63364676258292,-2.079612282563399,-2.9754426181022944,-1.4734178002940264,-2.1877339701223626,-0.08160741626621294
2020-03-27,3.7571085169935805,3.485557868762167,-2.056748030263166,-2.919819882099538,1.2027602804149482,1.600180279190829,-5.06384751721769
2020-03-30,2.9810561357769054,2.847721522658829,-2.0345104186449547,-2.866922289384829,-0.7358242489928111,4.706345923905573,0.6097602068613532
2020-03-31,2.64606272376003,2.5622212931030743,-2.0128726014338536,-2.8165328432523458,0.35333111755409097,4.934408150487995,3.8683232686311344
